Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2351681,422247,442024,2,05-Mar-15,2150,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2360395,432063,436089,2,06-Mar-15,950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,43,Car
2360395,432063,436089,2,06-Mar-15,950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Taxi/Private hire car
2360564,423539,435419,2,06-Mar-15,1138,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,21,Car
2360564,423539,435419,2,06-Mar-15,1138,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,24,Car
2361013,440880,447976,1,06-Mar-15,1535,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,3,Car
2361157,425635,433081,2,06-Mar-15,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Goods vehicle 3.5 tonnes mgw and under
2361483,428336,431507,2,06-Mar-15,1926,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2361492,430792,433466,1,06-Mar-15,1930,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,20,Car
2370884,424535,428612,1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,21,Car
2370884,424535,428612,1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Fatal,Male,14,Car
2370884,424535,428612,1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Fatal,Male,13,Car
2370884,424535,428612,1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,15,Car
2370884,424535,428612,1,07-Mar-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,14,Car
2371243,431518,433635,2,07-Mar-15,1700,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,29,Motorcycle over 125cc and up to 500cc
2371525,420578,433838,1,07-Mar-15,1145,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,84,Bus or coach (17 or more passenger seats)
2380771,419876,434085,2,08-Mar-15,1320,A,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,46,Car
2381544,435747,435744,2,08-Mar-15,2135,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,57,Car
2390864,429560,431565,2,09-Mar-15,1525,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Pedal cycle
2391439,429129,432682,2,09-Mar-15,2020,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,49,Car
2391641,429103,434722,4,09-Mar-15,2316,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,40,Car
23A0186,429604,432956,2,10-Mar-15,728,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Pedal cycle
23A0602,428808,432670,2,10-Mar-15,1115,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Goods vehicle 3.5 tonnes mgw and under
23A1062,427942,427855,2,10-Mar-15,1625,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Pedal cycle
23A1241,429999,434159,2,10-Mar-15,1740,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Pedal cycle
23A1267,430104,431515,2,10-Mar-15,1750,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,40,Pedal cycle
23A1366,426332,435595,2,10-Mar-15,1835,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,34,Motorcycle over 500cc
23A1419,431884,435185,1,10-Mar-15,1905,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,32,Taxi/Private hire car
23A1457,427139,433683,2,10-Mar-15,1928,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,37,Car
23A1457,427139,433683,2,10-Mar-15,1928,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,42,Car
23A1605,419064,441778,1,10-Mar-15,2128,B,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,18,Car
23B0168,425817,442891,2,11-Mar-15,700,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under
23B0494,429787,438924,2,11-Mar-15,1110,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
23B0500,429144,439793,1,11-Mar-15,1142,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Car
23B0696,421376,434608,1,11-Mar-15,1313,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,33,Pedal cycle
23C0382,438786,432598,1,12-Mar-15,1035,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 125cc and up to 500cc
23C0479,423820,438292,2,12-Mar-15,1133,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
23C0612,439405,432437,2,12-Mar-15,1220,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,52,Car
23C0612,439405,432437,2,12-Mar-15,1220,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,47,Car
23C1231,426560,437637,2,12-Mar-15,1833,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,43,Car
23C1231,426560,437637,2,12-Mar-15,1833,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,43,Car
23D0595,429881,433504,1,13-Mar-15,1216,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Bus or coach (17 or more passenger seats)
23D0978,431105,428363,1,13-Mar-15,1549,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,7,Car
23D1134,431853,435790,3,13-Mar-15,1702,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Car
23D1134,431853,435790,3,13-Mar-15,1702,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
23D1408,430395,427898,2,13-Mar-15,1933,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,15,M/cycle 50cc and under
23D1441,429433,433471,1,13-Mar-15,1950,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,30,Taxi/Private hire car
23E0663,420457,436485,2,14-Mar-15,1220,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car
23E0930,428787,433276,4,13-Mar-15,928,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Car
23E1231,415362,442992,2,14-Mar-15,1735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Pedal cycle
23E1390,431020,438172,2,14-Mar-15,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,38,Car
23F0931,426644,437611,2,15-Mar-15,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,72,Car
23G0201,420987,434338,2,16-Mar-15,721,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Motorcycle over 500cc
23G1056,427203,437824,1,14-Mar-15,315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Taxi/Private hire car
23G1275,422553,437120,2,16-Mar-15,1855,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,54,Car
23G1275,422553,437120,2,16-Mar-15,1855,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,64,Car
23G1567,440299,434321,3,16-Mar-15,2210,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,66,Car
23G1567,440299,434321,3,16-Mar-15,2210,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,21,Car
23H0182,428792,431807,2,17-Mar-15,725,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
23H0230,425137,436550,3,17-Mar-15,825,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Pedal cycle
23H0399,430303,435997,1,18-Mar-15,905,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Bus or coach (17 or more passenger seats)
23H0425,426472,435776,2,17-Mar-15,1053,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 50cc and up to 125cc
23H0621,432362,436364,2,17-Mar-15,1302,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Motorcycle over 500cc
23I0977,435623,435067,1,18-Mar-15,1534,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,49,Car
23J0112,427941,435715,1,19-Mar-15,336,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,48,Goods vehicle 3.5 tonnes mgw and under
23J1051,430245,431070,2,19-Mar-15,1639,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Pedal cycle
23J1121,425480,435758,1,19-Mar-15,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,6,Car
23J1312,426563,437724,2,19-Mar-15,1840,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,23,Motorcycle over 50cc and up to 125cc
23J1597,427506,425505,2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
23J1597,427506,425505,2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,14,Car
23J1597,427506,425505,2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
23J1597,427506,425505,2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
23J1597,427506,425505,2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,14,Car
23J1597,427506,425505,2,19-Mar-15,2213,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,20,Car
23K1013,430733,433238,2,20-Mar-15,1440,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Pedal cycle
23K1172,422443,433590,1,20-Mar-15,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,2,Car
23K1292,443629,436629,2,20-Mar-15,1720,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
23K1829,422447,432853,1,20-Mar-15,2155,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,75,Car
23K1829,422447,432853,1,20-Mar-15,2155,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,55,Car
23K1840,429568,423187,2,20-Mar-15,2204,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,38,Goods vehicle 3.5 tonnes mgw and under
23K1840,429568,423187,2,20-Mar-15,2204,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,20,Car
23K1840,429568,423187,2,20-Mar-15,2204,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,20,Car
23L0579,430911,433483,1,21-Mar-15,1107,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car
23L1620,441157,433152,2,21-Mar-15,2100,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Female,74,Car
23L1712,430337,433738,1,21-Mar-15,2205,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,39,Car
23M0540,423540,435419,2,20-Mar-15,1645,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Pedal cycle
23M1113,424748,444400,2,22-Mar-15,1600,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,60,Motorcycle over 500cc
23N0335,425246,428923,2,23-Mar-15,1035,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Pedal cycle
23N0374,429386,434947,2,23-Mar-15,930,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Pedal cycle
23N0612,423866,434265,2,25-Mar-15,1206,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
23N0612,423866,434265,2,25-Mar-15,1206,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
23N0612,423866,434265,2,25-Mar-15,1206,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Car
23N0837,432911,429583,2,23-Mar-15,1350,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
23O0636,429916,434261,1,23-Mar-15,30,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,24,Car
23O0692,428043,432831,2,24-Mar-15,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,26,Car
23O0692,428043,432831,2,24-Mar-15,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,53,Car
23O0903,430747,435587,2,24-Mar-15,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Car
23O1054,431063,430402,3,24-Mar-15,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,56,Car
23P0215,429949,424945,2,29-Mar-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,69,Car
23P0419,432473,440147,2,25-Mar-15,1030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Pedal cycle
23P0631,432467,436501,2,25-Mar-15,1307,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Taxi/Private hire car
23P0631,432467,436501,2,25-Mar-15,1307,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
23P0647,440020,437467,1,25-Mar-15,1315,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,86,Car
23P0731,428825,435232,2,03-Mar-15,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
23P0731,428825,435232,2,03-Mar-15,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car
23P0731,428825,435232,2,03-Mar-15,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
23P1019,424226,438984,1,26-Mar-15,1652,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,67,Taxi/Private hire car
23P1088,432887,432128,2,25-Mar-15,1610,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
23Q0531,433645,432294,2,26-Mar-15,1135,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,46,Car
23Q0577,430052,432661,2,26-Mar-15,1200,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Pedal cycle
23Q0780,427472,436004,3,26-Mar-15,1407,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Car
23Q0798,427762,434693,1,26-Mar-15,1455,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,19,Car
23Q1449,431955,434831,2,26-Mar-15,1935,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,31,Car
23R0238,427378,434918,2,27-Mar-15,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,35,Motorcycle over 50cc and up to 125cc
23R1384,430565,431807,2,27-Mar-15,748,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Motorcycle over 125cc and up to 500cc
23R1384,430565,431807,2,27-Mar-15,748,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
23R1537,443109,433214,2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Serious,Male,68,Car
23R1537,443109,433214,2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,71,Car
23R1537,443109,433214,2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,73,Car
23R1537,443109,433214,2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,21,Car
23R1537,443109,433214,2,27-Mar-15,2030,A,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,19,Car
23S0535,433968,428869,2,28-Mar-15,1015,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,25,Motorcycle over 125cc and up to 500cc
23S0679,424419,438120,2,28-Mar-15,1209,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,30,Car
23S0679,424419,438120,2,28-Mar-15,1209,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,48,Car
23S0782,432959,439233,3,28-Mar-15,1319,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Car
23S1082,445458,431585,1,28-Mar-15,1630,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Male,16,Motorcycle over 500cc
23S1440,428948,435472,2,28-Mar-15,2015,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,34,Motorcycle over 500cc
23S1440,428948,435472,2,28-Mar-15,2015,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,29,Motorcycle over 500cc
23S1509,421074,441342,2,28-Mar-15,2057,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,39,Car
23S1509,421074,441342,2,28-Mar-15,2057,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,39,Car
23T0510,425264,432128,2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,18,Car
23T0510,425264,432128,2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,2,Car
23T0510,425264,432128,2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,30,Car
23T0510,425264,432128,2,29-Mar-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,25,Car
23T0535,429104,432391,2,29-Mar-15,1215,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,19,Pedal cycle
23T0572,430683,432922,2,29-Mar-15,1250,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,40,Pedal cycle
23T0873,432784,435395,2,29-Mar-15,1620,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,4,Pedal cycle
23T1348,428486,434449,2,29-Mar-15,2241,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,16,Pedal cycle
23U0260,426034,439482,1,30-Mar-15,900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,22,Car
23U0437,431042,436500,2,30-Mar-15,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Pedal cycle
23U0452,444763,432446,2,30-Mar-15,1110,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Goods vehicle 3.5 tonnes mgw and under
23U1433,428014,435482,2,30-Mar-15,1825,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,56,Pedal cycle
23V0060,432175,435631,2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,47,Car
23V0060,432175,435631,2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,23,Car
23V0060,432175,435631,2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,15,Car
23V0060,432175,435631,2,31-Mar-15,104,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,18,Car
23V0122,432021,435878,1,31-Mar-15,224,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,41,Car
23V0122,432021,435878,1,31-Mar-15,224,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,39,Car
23V0433,430868,436344,2,30-Mar-15,2120,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,31,Pedal cycle
23V0449,430954,435909,2,10-Mar-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Pedal cycle
23V1162,430113,434139,1,31-Mar-15,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,39,Car
23V1374,420537,441180,2,31-Mar-15,1935,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedestrian,Serious,Male,54,Car
23V1543,432672,436912,2,31-Mar-15,2010,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,32,Car
2410244,428947,431095,1,01-Apr-15,837,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,29,Car
2410297,430954,435909,2,01-Apr-15,918,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2410323,429939,427156,2,01-Apr-15,720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
2410505,440579,426178,1,01-Apr-15,1150,A,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,36,Car
2410505,440579,426178,1,01-Apr-15,1150,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Male,6,Car
2410505,440579,426178,1,01-Apr-15,1150,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Male,3,Car
2410581,423426,437612,1,01-Apr-15,1229,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,75,Car
2410639,422974,443050,3,01-Apr-15,1311,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,25,Car
2410639,422974,443050,3,01-Apr-15,1311,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,19,Car
2411078,426560,437636,2,01-Apr-15,1710,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
2411225,433313,426326,2,01-Apr-15,1829,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,44,Car
2411225,433313,426326,2,01-Apr-15,1829,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,8,Car
2411393,431402,435029,3,01-Apr-15,2005,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2411393,431402,435029,3,01-Apr-15,2005,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Car
2420258,432060,435967,2,02-Apr-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
2420283,427505,435442,1,02-Apr-15,848,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,20,Car
2420907,433387,436914,2,01-Apr-15,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Pedal cycle
2421224,430849,434069,2,02-Apr-15,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Pedal cycle
2421638,423192,434656,2,02-Apr-15,2030,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,38,Pedal cycle
2421679,431916,435768,1,02-Apr-15,2100,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,48,Car
2430623,432139,435308,2,03-Apr-15,1236,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Car
2441311,430801,435344,2,04-Apr-15,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Car
2441585,430486,437095,3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Car
2441585,430486,437095,3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2441585,430486,437095,3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,Car
2441585,430486,437095,3,04-Apr-15,2129,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,46,Car
2450446,426807,438051,2,05-Apr-15,915,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Pedal cycle
2450877,430333,433353,1,05-Apr-15,300,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,29,Taxi/Private hire car
2460843,436044,436625,3,06-Apr-15,1435,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,4,Car
2460974,430667,433033,1,06-Apr-15,1545,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Car
2460978,442804,430043,2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,66,Car
2460978,442804,430043,2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Car
2460978,442804,430043,2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,32,Car
2460978,442804,430043,2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,7,Car
2460978,442804,430043,2,06-Apr-15,1500,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,27,Car
