Year,Month,Temperature,Gangwondo,Seoul,Gyeonggido,Incheon,Gyeongsangnamdo,Gyeongsangbukdo,Gwangju,Daegu,Daejeon,Busan,Sejong,Ulsan,Jeollanamdo,Jeollabukdo,Jeju,Chungcheongnamdo,Chungcheongbukdo,Sum
2018,4,13.68,31685,335587,406962,124334,103930,122106,46220,98618,51805,108188,6886,219102,56414,69458,1430,117614,64482,1964821
2018,5,18.43,23395,233084,323762,102646,82058,101569,36281,67216,37547,93931,6059,216410,49887,58870,1152,96398,54697,1584962
2018,6,22.98,18138,183080,276297,87736,69725,88786,29809,53619,32943,77279,5913,199013,46380,52883,1076,86740,48469,1357886
2018,7,27.71,17658,187574,254270,80109,64856,88127,28832,43479,33409,77269,5091,204025,46511,52666,1234,84495,47267,1316872
2018,8,28.56,16514,159710,244585,77618,58538,85282,27299,42646,29866,71037,5289,197909,45527,50040,1313,77554,46384,1237111
2018,9,21.5,16019,152052,234572,72672,56243,83654,27767,42665,29892,72533,4558,200074,50447,48697,1065,75077,45104,1213091
2018,10,13.76,24370,228383,354863,83880,72720,108813,40971,44591,46461,94793,6104,206623,55795,67000,1315,112299,62025,1611006
2018,11,8.71,36408,389195,505850,134301,94004,136341,58508,69924,72355,125270,8069,238980,70025,84114,1807,147295,80902,2253348
2018,12,0.87,54089,643974,742185,189339,120767,172244,88935,102805,113070,182018,9973,289470,80130,111254,3113,182274,103621,3189261
2019,1,0.35,64031,754822,816518,224628,151007,188792,94441,144808,121150,210982,10604,266679,91532,124247,3586,198190,119471,3585488
2019,2,2.33,57335,662117,674005,193459,134834,156945,78279,139938,94051,167223,9477,229291,77767,105399,3048,169249,97249,3049666
2019,3,7.97,44251,479716,566102,169844,124158,147318,67716,123066,81762,144388,9058,241544,68924,91449,2589,153710,88160,2603755
2019,4,12.58,37240,371517,449495,136980,105551,129122,56687,96775,59249,121169,12855,235340,61576,78412,1742,144330,75629,2173669
2019,5,19.54,25458,227515,312516,100655,87309,112190,35978,74737,38260,90821,9750,182645,52249,62286,1275,127917,60017,1601578
2019,6,22.26,19393,172980,251155,79230,67558,92645,30620,53119,32260,79148,8332,182666,47072,52135,1143,103216,51350,1324022
2019,7,25.57,18474,172649,253612,73632,65362,91122,29962,44880,32747,78992,6353,159799,45014,52348,1347,91320,52078,1269691
2019,8,27.17,18141,160321,245814,70891,59523,87687,27158,44366,31262,73847,6280,130443,45830,48518,1509,83579,47703,1182872
2019,9,22.7,17433,155577,230876,73175,56694,86697,27524,40990,29972,73547,5297,138739,44120,49664,1262,79701,48827,1160095
2019,10,16.82,22461,185075,303799,80336,67652,102971,35496,46742,39586,87861,6261,163784,46841,60000,1270,97088,58294,1405517
2019,11,8.88,35295,364952,479011,122112,85643,129823,56887,63065,67135,117687,9411,189757,64823,80472,1923,131265,79029,2078290
2019,12,2.74,53828,588558,696142,179571,116918,170617,84351,99429,107218,182975,10629,224699,81864,103501,3153,171348,104658,2979459
2020,1,2.8,60387,667452,716886,188900,140280,177749,85780,138172,110897,190840,10640,236405,94564,115432,3448,182013,109718,3229563
2020,2,3.7,55573,615352,646635,177038,142026,164179,77148,139591,97843,167471,10263,208087,86743,102769,3039,173110,100459,2967326
2020,3,8.5,45021,465250,548419,153196,122379,148088,68148,118678,75545,149046,9913,196930,82662,94005,2077,146812,91568,2517737
2020,4,11.6,35828,339407,422650,121419,99483,127807,54697,93789,52499,115783,7749,160901,69487,77266,2403,122475,75045,1978688
2020,5,18.3,25504,226520,313666,93141,90207,94592,33476,71655,34019,84634,6909,98104,52219,52477,1272,93167,57852,1429414
2020,6,23.7,19134,170122,256888,74967,71466,82778,30024,47906,32165,73869,6423,91351,44249,45071,1200,80104,51661,1179378
2020,7,23.6,18346,160511,252344,67443,65757,88304,30522,42475,30395,77497,6479,99297,43281,46458,1281,73143,53692,1157225
2020,8,27,19076,163032,255222,70646,60523,84646,27561,45058,31906,70508,5599,94251,49039,43885,1506,70181,49460,1142099
2020,9,21.4,18822,147556,243817,72542,65264,88652,28120,43042,30307,70849,6069,101433,54253,48190,1179,86971,53589,1160655
2020,10,14.9,25946,213556,339823,78654,75071,103757,39428,44555,42001,85283,10268,119332,60416,61328,1414,109095,61315,1471242
2020,11,9,35632,375289,497221,115663,101609,135432,58120,67054,69624,122943,12087,147792,68793,82360,2161,142556,82499,2116835
2020,12,0.8,57301,636178,742863,179536,149527,183273,94589,101139,110897,200163,11875,221037,97863,113880,4220,198939,114597,3217877
