Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1470521,430775,433453,2,05-Apr-14,945,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,22,M/cycle 50cc and under
1480500,431511,435137,3,08-Apr-14,1059,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,23,Car
1480500,431511,435137,3,08-Apr-14,1059,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,34,Car
1480500,431511,435137,3,08-Apr-14,1059,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,36,Car
1480500,431511,435137,3,08-Apr-14,1059,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,38,Car
1480678,430473,433750,2,08-Apr-14,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,63,Car
1480678,430473,433750,2,08-Apr-14,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,60,Car
1480751,440829,445739,1,08-Apr-14,1336,A,Dry,Daylight: street lights present,Fine with high winds,1,Driver,Serious,Male,20,Motorcycle over 50cc and up to 125cc
1481171,431621,436143,3,08-Apr-14,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Car
1481333,424718,434440,2,08-Apr-14,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,24,Car
1481333,424718,434440,2,08-Apr-14,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,44,Car
1481333,424718,434440,2,08-Apr-14,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,38,Car
1490215,426486,428243,1,09-Apr-14,746,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,23,Motorcycle over 50cc and up to 125cc
1490562,430900,428654,1,09-Apr-14,1212,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,88,Bus or coach (17 or more passenger seats)
1490632,436431,435581,2,03-Apr-14,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,72,Taxi/Private hire car
1490713,426305,436913,2,09-Apr-14,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Female,21,Car
1490713,426305,436913,2,09-Apr-14,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,22,Car
1490713,426305,436913,2,09-Apr-14,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,17,Car
1490713,426305,436913,2,09-Apr-14,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,21,Car
1491282,432946,427605,1,09-Apr-14,1808,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,32,Car
14A0278,432055,435968,2,10-Apr-14,836,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,53,Pedal cycle
14A0409,427337,434674,3,10-Apr-14,958,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,49,Pedal cycle
14A1015,427704,430903,2,10-Apr-14,1541,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,51,Car
14A1433,432930,436036,1,10-Apr-14,1840,A,Dry,Darkness: no street lighting,Fine without high winds,3,Pedestrian,Slight,Male,7,Car
14A1747,423888,437403,1,10-Apr-14,2100,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,12,Car
14B0276,425577,443075,2,11-Apr-14,740,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,47,Pedal cycle
14B0477,428446,429056,2,11-Apr-14,950,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,41,Car
14B0548,428706,433085,3,11-Apr-14,1100,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,50,Taxi/Private hire car
14B0680,427709,426389,2,11-Apr-14,1210,Motorway,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,23,Car
14B0680,427709,426389,2,11-Apr-14,1210,Motorway,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,45,Car
14B1129,432209,435912,2,11-Apr-14,1557,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,30,Motorcycle over 500cc
14B1498,430600,436868,3,11-Apr-14,1840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
14B1498,430600,436868,3,11-Apr-14,1840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
14C0342,436891,433665,2,12-Apr-14,849,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,52,Pedal cycle
14C0578,427023,444701,2,12-Apr-14,1025,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,38,Pedal cycle
14C1823,422452,434232,2,12-Apr-14,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,12,Car
14C1823,422452,434232,2,12-Apr-14,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,40,Car
14D0806,430212,432064,1,13-Apr-14,1340,A,Dry,Daylight: street lights present,Fine with high winds,1,Driver,Slight,Female,37,Car
14D0806,430212,432064,1,13-Apr-14,1340,A,Dry,Daylight: street lights present,Fine with high winds,2,Passenger,Slight,Female,10,Car
14D0806,430212,432064,1,13-Apr-14,1340,A,Dry,Daylight: street lights present,Fine with high winds,2,Passenger,Slight,Female,1,Car
14D1032,433896,436549,2,13-Apr-14,1545,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,56,Taxi/Private hire car
14D1032,433896,436549,2,13-Apr-14,1545,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,34,Taxi/Private hire car
14D1032,433896,436549,2,13-Apr-14,1545,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,17,Car
14D1032,433896,436549,2,13-Apr-14,1545,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,18,Car
14D1290,438052,448191,1,13-Apr-14,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,24,Car
14D1487,431253,438286,3,13-Apr-14,1944,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,19,M/cycle 50cc and under
14E0983,435770,436505,1,14-Apr-14,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,5,Car
14F0421,422426,434598,2,15-Apr-14,915,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,43,Car
14F0490,435094,435657,1,15-Apr-14,1110,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,9,Car
14F0575,428775,429727,1,15-Apr-14,1232,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,78,Car
14F1146,429071,433045,2,15-Apr-14,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,48,Car
14F1207,431874,435948,2,15-Apr-14,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,61,Bus or coach (17 or more passenger seats)
14F1255,433073,432332,1,15-Apr-14,1759,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,54,Car
14F1358,422310,433978,1,15-Apr-14,1847,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,31,Car
14G0526,430191,431784,2,16-Apr-14,1059,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,6,Pedal cycle
14G0554,427924,436151,1,16-Apr-14,1110,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,34,Other Vehicle 
14G0648,438109,430867,1,16-Apr-14,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Female,76,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,39,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,7,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,11,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,7,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,10,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,44,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,11,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,78,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,74,Car
14G1027,420343,439783,3,16-Apr-14,1505,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,4,Car
14G1100,430337,432814,1,16-Apr-14,1448,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,3,Bus or coach (17 or more passenger seats)
14G1235,424517,427739,3,16-Apr-14,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
14G1235,424517,427739,3,16-Apr-14,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,22,Car
14G1328,424100,431966,2,16-Apr-14,1732,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,50,Pedal cycle
14G1555,436474,436176,1,16-Apr-14,1907,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,49,Motorcycle over 500cc
14H0187,432302,426164,2,17-Apr-14,528,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,30,Goods vehicle 3.5 tonnes mgw and under
14H0187,432302,426164,2,17-Apr-14,528,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,28,Other Vehicle 
14H0379,432236,426267,2,17-Apr-14,945,Motorway,Dry,Daylight: street lights present,Unknown,1,Driver,Slight,Female,35,Car
14H0379,432236,426267,2,17-Apr-14,945,Motorway,Dry,Daylight: street lights present,Unknown,2,Passenger,Slight,Male,4,Car
14H0379,432236,426267,2,17-Apr-14,945,Motorway,Dry,Daylight: street lights present,Unknown,2,Passenger,Slight,Female,36,Car
14H0379,432236,426267,2,17-Apr-14,945,Motorway,Dry,Daylight: street lights present,Unknown,2,Passenger,Slight,Female,10,Car
14H1058,430155,430974,2,17-Apr-14,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,24,Car
14H1228,427482,432594,2,17-Apr-14,1759,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,25,Car
14H1474,438509,427246,2,09-Apr-14,750,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Pedal cycle
14I0431,430508,433455,1,17-Apr-14,2315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Serious,Male,33,Bus or coach (17 or more passenger seats)
14I0904,430212,433401,1,18-Apr-14,1518,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,32,Bus or coach (17 or more passenger seats)
14I1056,428520,434271,2,18-Apr-14,1632,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,31,Pedal cycle
14I1371,422422,440320,2,17-Apr-14,1946,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,41,Car
14J1103,425059,433376,1,19-Apr-14,1310,B,Dry,Daylight: street lights present,Unknown,2,Passenger,Slight,Female,41,Bus or coach (17 or more passenger seats)
14J1407,420338,441596,1,19-Apr-14,1940,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,36,Car
14J1407,420338,441596,1,19-Apr-14,1940,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,65,Car
14J1635,429401,433823,1,19-Apr-14,2155,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Male,30,Car
14K0229,429360,433720,1,20-Apr-14,349,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,23,Car
14K0229,429360,433720,1,20-Apr-14,349,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Fatal,Male,24,Car
14K0307,426744,426835,2,20-Apr-14,2050,B,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,26,Car
14K0307,426744,426835,2,20-Apr-14,2050,B,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,19,Car
14K0632,430232,433425,1,06-Apr-14,15,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Female,28,Taxi/Private hire car
14L0051,424963,434400,2,21-Apr-14,43,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,23,Pedal cycle
14L0054,427476,431311,2,21-Apr-14,2355,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,53,Taxi/Private hire car
14L0083,441371,445033,2,21-Apr-14,113,A(M),Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Serious,Male,33,Car
14L0083,441371,445033,2,21-Apr-14,113,A(M),Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Serious,Male,22,Car
14L1161,427751,436156,2,21-Apr-14,1726,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,23,Pedal cycle
14M0058,426845,438032,2,22-Apr-14,2105,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,26,Pedal cycle
14M0162,430064,433776,2,22-Apr-14,542,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Serious,Male,28,M/cycle 50cc and under
14M0228,429137,433091,2,22-Apr-14,755,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,46,Pedal cycle
14M0700,431416,434088,1,22-Apr-14,1215,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Female,48,Bus or coach (17 or more passenger seats)
14M0807,427977,433611,2,22-Apr-14,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,51,Car
14M0992,431959,436272,2,22-Apr-14,1610,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,47,Car
14M1121,428919,431655,5,22-Apr-14,1713,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,19,Car
14M1121,428919,431655,5,22-Apr-14,1713,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Female,38,Car
14M1127,432308,434917,2,22-Apr-14,1710,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,44,Car
14M1219,432203,429813,2,22-Apr-14,1700,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,12,Car
14M1265,425339,440850,2,22-Apr-14,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,31,Car
14M1832,431456,427929,3,22-Apr-14,2356,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,48,Car
14N0205,427895,434391,1,23-Apr-14,750,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,40,Pedal cycle
14N0205,427895,434391,1,23-Apr-14,750,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,32,Pedal cycle
14N0265,429388,434947,2,23-Apr-14,850,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Female,23,Pedal cycle
14N0438,427292,426391,2,23-Apr-14,1100,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,48,Car
14N0438,427292,426391,2,23-Apr-14,1100,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,22,Car
14N0438,427292,426391,2,23-Apr-14,1100,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,33,Car
14N0441,427716,436102,3,23-Apr-14,1105,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,21,Taxi/Private hire car
14N1033,438051,436460,2,23-Apr-14,1638,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,81,Car
14N1033,438051,436460,2,23-Apr-14,1638,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,53,Car
14N1063,440757,429007,1,23-Apr-14,1615,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,7,Goods vehicle 3.5 tonnes mgw and under
14N1068,422027,436490,2,23-Apr-14,1650,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,48,Motorcycle over 50cc and up to 125cc
14N1334,424083,427964,2,23-Apr-14,1925,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,26,Car
14N1336,430895,435533,2,23-Apr-14,1905,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,31,Car
14N1336,430895,435533,2,23-Apr-14,1905,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Serious,Male,30,Motorcycle over 500cc
14N1407,429340,433719,2,23-Apr-14,1630,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,42,Car
14O0196,428796,434041,2,24-Apr-14,743,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,62,Car
14O1025,429788,430628,1,23-Apr-14,800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,29,Car
14O1025,429788,430628,1,23-Apr-14,800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,22,Car
14O1225,424452,428094,2,24-Apr-14,1740,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,18,Motorcycle over 50cc and up to 125cc
14O1503,436352,436417,1,24-Apr-14,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,9,Car
14P0845,429787,430926,1,25-Apr-14,1440,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,46,Car
14P0942,430306,432314,2,25-Apr-14,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,25,Car
14Q0304,430065,431119,2,26-Apr-14,525,A,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,28,M/cycle 50cc and under
14Q0907,431860,425713,5,26-Apr-14,1424,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,24,Ridden horse
14Q1587,429946,433788,1,25-Apr-14,1940,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,18,Bus or coach (17 or more passenger seats)
14R0848,430604,434565,2,26-Apr-14,1330,A,Dry,Daylight: street lights present,Unknown,1,Driver,Slight,Female,45,Car
14R0848,430604,434565,2,26-Apr-14,1330,A,Dry,Daylight: street lights present,Unknown,2,Passenger,Slight,Male,25,Car
14R1003,423035,435217,2,27-Apr-14,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc
14R1181,435638,436343,2,27-Apr-14,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,1,Car
14R1223,419650,441077,2,27-Apr-14,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,35,Car
14S0217,422292,438279,2,28-Apr-14,735,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,23,Motorcycle over 50cc and up to 125cc
14S0237,426550,442017,2,28-Apr-14,803,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,29,Car
14S0258,429090,439492,2,28-Apr-14,815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,49,Car
14S0479,436283,434154,1,28-Apr-14,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,58,Car
14S0758,429811,434610,2,28-Apr-14,1310,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,20,Pedal cycle
14S0896,429925,435658,1,28-Apr-14,1420,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,78,Car
14S1211,430915,436494,2,28-Apr-14,1024,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,24,Car
14S1601,433633,435340,2,28-Apr-14,1905,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,63,Car
14T0043,429309,435030,2,29-Apr-14,55,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,21,Car
14T0368,433060,434084,1,05-Apr-14,1600,B,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,56,Car
14T0951,430643,428140,1,29-Apr-14,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,11,Car
14T1265,426313,435511,2,29-Apr-14,1800,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,34,Pedal cycle
14T1289,428962,432729,2,29-Apr-14,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,51,Pedal cycle
14U0293,429948,433120,2,30-Apr-14,835,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,19,Pedal cycle
14U0297,430769,435251,1,30-Apr-14,841,C,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,9,Car
14U0578,428825,435232,2,30-Apr-14,1605,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Female,46,Car
14U0843,428440,435705,2,30-Apr-14,1400,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,20,Pedal cycle
14U0936,423742,444356,2,30-Apr-14,1443,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,20,Pedal cycle
14U1029,430095,431332,1,30-Apr-14,1230,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,30,Car
14U1145,430629,434216,1,30-Apr-14,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Female,78,Bus or coach (17 or more passenger seats)
14U1235,428789,435578,2,30-Apr-14,1700,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,45,Pedal cycle
14U1278,435584,433605,2,30-Apr-14,830,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Pedal cycle
14U1433,427791,427910,1,30-Apr-14,1330,B,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats)
14U1515,428530,432087,2,30-Apr-14,1720,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,27,Car
14U1644,434962,436855,2,30-Apr-14,2025,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Serious,Male,35,Pedal cycle
1510633,429414,433950,2,01-May-14,1254,A(M),Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Female,29,Car
1510633,429414,433950,2,01-May-14,1254,A(M),Wet / Damp,Daylight: street lights present,Raining without high winds,2,Passenger,Slight,Female,24,Car
1510633,429414,433950,2,01-May-14,1254,A(M),Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,51,Car
1511108,430767,438449,2,01-May-14,1430,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,52,Pedal cycle
1511251,429841,432529,2,01-May-14,1828,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,44,Motorcycle over 125cc and up to 500cc
1511740,432528,436701,1,01-May-14,2350,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,18,Motorcycle over 50cc and up to 125cc
1520720,427996,435194,2,02-May-14,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,20,Pedal cycle
1521016,433199,439190,2,02-May-14,1535,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,18,Motorcycle over 50cc and up to 125cc
1521017,435331,439412,2,02-May-14,1530,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,53,Motorcycle over 500cc
1521096,435972,435458,2,02-May-14,1615,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,47,Motorcycle over 500cc
1521288,422565,437137,5,02-May-14,1745,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,60,Car
1521303,428546,431414,2,02-May-14,1753,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Female,26,Car
1521303,428546,431414,2,02-May-14,1753,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,23,Car
1521487,430372,428131,1,02-May-14,1913,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,10,Car
1530576,426141,435596,2,03-May-14,1050,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,55,Car
1530576,426141,435596,2,03-May-14,1050,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,56,Car
1530651,443617,436395,3,03-May-14,1130,A(M),Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,43,Car
1530789,430913,436114,2,03-May-14,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,25,Car
1531338,429998,437209,2,03-May-14,1730,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,43,Car
1531412,440561,433546,2,03-May-14,1755,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,50,Pedal cycle
1540301,424087,435521,2,04-May-14,405,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Serious,Female,24,Car
1541155,420035,441874,2,04-May-14,1738,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,7,Pedal cycle
1541273,428957,435474,2,04-May-14,1740,A,Dry,Daylight: street lights present,Unknown,1,Driver,Slight,Female,48,Car
1551175,425413,440393,2,05-May-14,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,16,Pedal cycle
1551220,422222,435650,2,05-May-14,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,54,Car
1551220,422222,435650,2,05-May-14,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,57,Car
